Category,Percentage
,0.46
.NET,0.23
Algorithmic Art,0.23
Business,2.78
Client Server,0.23
Client-Server,2.55
Computer Graph,0.23
Computer Graphics,1.39
In Action,0.23
Internet,9.51
Java,22.27
Microsoft,1.86
Microsoft .NET,7.89
Microsoft/.NET,0.23
Miscella,0.23
Miscellaneous,0.46
Mobile,0.23
Mobile Technology,1.39
Networking,1.62
Next Generation Databases,0.23
Object-Oriented Programming,0.93
Object-Technology Programming,0.23
Open Source,0.46
P,0.23
PHP,0.23
Perl,1.39
PowerBuilder,1.62
Programming,2.78
Python,1.39
S,0.23
SOA,0.23
Software Development,0.23
Software Engineering,3.71
Theory,1.62
Web Development,3.94
XML,0.93
internet,0.23
java,0.23
